ObjectID,Plat-Lot#,StreetAddress,city,state,Zip,ZipCode,geo_score,geo_address,geo_lat,geo_lon,List_type,Class Desc,Housing Units,Tax_Value$,Tax_Value,Tax_Bill$,Tax_Bill
065-0502-0000,065-0502-0000,64 BERGEN ST,Providence,RI,2909,02909,100,"64 BERGEN ST, PROVIDENCE",41.82993081,-71.43954815,Waste Collection ID,2 -5 Family,3,"$73,700.00 ",73700.00,"$2,487.40 ",2487.40
065-0555-0000,065-0555-0000,95 ANDEM ST,Providence,RI,2908,02908,100,"95 ANDEM ST, PROVIDENCE, 02908",41.83058395,-71.44357371,Waste Collection ID,Single Family,1,"$139,600.00 ",139600.00,"$2,687.32 ",2687.32
065-0560-0000,065-0560-0000,68 BERGEN ST,Providence,RI,2909,02909,100,"68 BERGEN ST, PROVIDENCE",41.82971829,-71.43950092,Waste Collection ID,2 -5 Family,3,"$83,900.00 ",83900.00,"$2,831.64 ",2831.64
065-0588-0000,065-0588-0000,9 CUTLER ST,Providence,RI,2909,02909,100,"9 CUTLER ST, PROVIDENCE, 02909",41.82371217,-71.44157713,City-owned Tax Sale,Residential Vacant Land,0,"$17,000.00 ",17000.00,$573.76 ,573.76
065-0589-0000,065-0589-0000,7 CUTLER ST,Providence,RI,2909,02909,68.5,"9 CUTLER ST, PROVIDENCE, 02909",41.82342172,-71.44159864,City-owned Tax Sale,Residential Vacant Land,0,"$16,500.00 ",16500.00,$556.88 ,556.88
065-0593-0000,065-0593-0000,11 CUTLER ST,Providence,RI,2909,02909,68.5,"9 CUTLER ST, PROVIDENCE, 02909",41.82400262,-71.44155562,City-owned Tax Sale,Residential Vacant Land,0,"$19,700.00 ",19700.00,$664.88 ,664.88
065-0594-0000,065-0594-0000,13 CUTLER ST,Providence,RI,2909,02909,68.5,"9 CUTLER ST, PROVIDENCE, 02909",41.82400262,-71.44155562,City-owned Tax Sale,Residential Vacant Land,0,"$24,900.00 ",24900.00,$840.40 ,840.40
065-0612-0000,065-0612-0000,328 Valley St,Providence,RI,2909,02909,100,"328 VALLEY ST, PROVIDENCE",41.82628589,-71.43873729,City-owned Tax Sale,Commercial I,0,"$100,300.00 ",100300.00,"$3,686.04 ",3686.04
065-0626-0000,065-0626-0000,33 BOYD ST,Providence,RI,2908,02908,100,"33 BOYD ST, PROVIDENCE, 02908",41.82694473,-71.43936203,City-owned Tax Sale,CI Vacant Land,0,"$18,400.00 ",18400.00,$676.20 ,676.20
065-0627-0000,065-0627-0000,31 BOYD ST,Providence,RI,2908,02908,100,"31 BOYD ST, PROVIDENCE, 02908",41.82693911,-71.43928014,City-owned Tax Sale,CI Vacant Land,0,"$18,400.00 ",18400.00,$676.20 ,676.20
